epoch,poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - _step,patchedCifar10(no denfence)Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.02_TLr0.2_AttackNum200_EC0_SE1801_AllLayer1 - test poison acc (after fedavg),poisonedCifar10(no defence)_Local_backdoor_cv_cifar10_resnet_snorm0.2_Baseline_Lr0.001_PLr0.003_TLr0.2_AttackNum250_EC0_SE1801_AllLayer1 - test poison acc (after fedavg)
2351,551,76.36719 ,91.40625 
2352,552,76.36719 ,92.38281 
2353,553,76.75781 ,90.03906 
2354,554,72.07031 ,87.30469 
2355,555,78.71094 ,89.25781 
2356,556,80.27344 ,90.62500 
2357,557,77.14844 ,91.60156 
2358,558,77.14844 ,91.40625 
2359,559,80.85938 ,90.03906 
2360,560,82.03125 ,90.03906 
2361,561,82.81250 ,92.77344 
2362,562,79.68750 ,88.86719 
2363,563,79.49219 ,87.89063 
2364,564,77.92969 ,90.23438 
2365,565,78.12500 ,92.57813 
2366,566,79.88281 ,90.42969 
2367,567,79.10156 ,90.62500 
2368,568,81.25000 ,90.62500 
2369,569,78.71094 ,86.71875 
2370,570,77.14844 ,87.10938 
2371,571,75.00000 ,89.64844 
2372,572,77.53906 ,89.84375 
2373,573,79.49219 ,89.45313 
2374,574,80.07813 ,86.71875 
2375,575,81.64063 ,88.67188 
2376,576,78.90625 ,86.13281 
2377,577,77.92969 ,85.15625 
2378,578,76.56250 ,86.52344 
2379,579,78.32031 ,90.23438 
2380,580,81.83594 ,89.64844 
2381,581,78.71094 ,92.18750 
2382,582,76.17188 ,91.01563 
2383,583,76.95313 ,89.45313 
2384,584,76.17188 ,89.06250 
2385,585,77.34375 ,89.64844 
2386,586,75.97656 ,92.38281 
2387,587,72.07031 ,91.40625 
2388,588,75.78125 ,90.82031 
2389,589,77.73438 ,89.84375 
2390,590,76.17188 ,90.03906 
2391,591,76.17188 ,90.42969 
2392,592,78.32031 ,90.03906 
2393,593,78.51563 ,91.60156 
2394,594,78.32031 ,91.79688 
2395,595,77.53906 ,88.47656 
2396,596,76.56250 ,93.35938 
2397,597,77.34375 ,86.32813 
2398,598,76.17188 ,91.40625 
2399,599,77.34375 ,91.21094 
2400,600,79.10156 ,88.86719 
2401,601,81.25000 ,90.23438 
2402,602,80.07813 ,91.79688 
2403,603,78.12500 ,91.79688 
2404,604,75.97656 ,90.62500 
2405,605,77.34375 ,86.91406 
2406,606,80.85938 ,89.45313 
2407,607,81.25000 ,88.08594 
2408,608,79.29688 ,89.84375 
2409,609,76.56250 ,92.38281 
2410,610,77.34375 ,92.96875 
2411,611,76.56250 ,92.18750 
2412,612,81.83594 ,91.01563 
2413,613,77.53906 ,91.60156 
2414,614,75.78125 ,91.40625 
2415,615,79.29688 ,85.93750 
2416,616,73.24219 ,88.28125 
2417,617,76.75781 ,90.62500 
2418,618,75.39063 ,90.03906 
2419,619,78.51563 ,88.28125 
2420,620,77.92969 ,89.45313 
2421,621,76.95313 ,89.45313 
2422,622,76.56250 ,89.84375 
2423,623,76.75781 ,89.64844 
2424,624,75.39063 ,90.42969 
2425,625,78.12500 ,90.23438 
2426,626,77.53906 ,91.40625 
2427,627,80.46875 ,92.57813 
2428,628,76.95313 ,91.99219 
2429,629,78.71094 ,88.28125 
2430,630,78.90625 ,86.13281 
2431,631,79.29688 ,81.83594 
2432,632,80.66406 ,87.10938 
2433,633,76.95313 ,86.71875 
2434,634,71.87500 ,88.47656 
2435,635,73.63281 ,86.52344 
2436,636,77.73438 ,86.71875 
2437,637,73.04688 ,86.71875 
2438,638,76.56250 ,89.06250 
2439,639,74.02344 ,89.84375 
2440,640,73.82813 ,83.78906 
2441,641,79.68750 ,86.13281 
2442,642,74.41406 ,88.67188 
2443,643,76.36719 ,87.10938 
2444,644,76.56250 ,89.06250 
2445,645,80.66406 ,87.10938 
2446,646,78.71094 ,88.08594 
2447,647,80.07813 ,86.32813 
2448,648,78.32031 ,85.15625 
2449,649,74.02344 ,88.86719 
2450,650,72.07031 ,89.25781 
2451,651,77.92969 ,89.64844 
2452,652,77.73438 ,91.01563 
2453,653,75.19531 ,90.23438 
2454,654,71.09375 ,89.06250 
2455,655,74.60938 ,89.45313 
2456,656,76.17188 ,93.16406 
2457,657,73.04688 ,90.62500 
2458,658,74.60938 ,92.18750 
2459,659,75.19531 ,89.64844 
2460,660,75.39063 ,88.67188 
2461,661,76.56250 ,90.62500 
2462,662,73.24219 ,90.62500 
2463,663,75.39063 ,87.69531 
2464,664,78.51563 ,91.01563 
2465,665,79.88281 ,88.47656 
2466,666,77.53906 ,84.37500 
2467,667,78.71094 ,87.50000 
2468,668,76.95313 ,90.03906 
2469,669,74.21875 ,83.98438 
2470,670,75.78125 ,87.10938 
2471,671,76.17188 ,88.28125 
2472,672,76.95313 ,89.84375 
2473,673,79.68750 ,90.23438 
2474,674,76.75781 ,86.32813 
2475,675,71.87500 ,86.32813 
2476,676,79.29688 ,89.06250 
